model_name,mean_mcd,mcd_per_sentence
26DE_36DE,5.704768851232302,"[6.320769217982055, 6.249153043047621, 5.377276165898248, 6.202537671632382, 5.26789888800608, 5.887007051938374, 6.496038098353496, 5.972548875699686, 6.225334464402526, 5.933029718821927, 6.298335238166871, 4.834799787046319, 4.4707083087663655, 4.796750003573828, 5.6984768835051245, 5.115299033294286]"
03FR_04EN,6.265807832080684,"[7.386534836614609, 6.021615045509453, 6.895312744739212, 6.05078183913766, 6.287348747945451, 5.891710756721213, 6.335866331696623, 6.5733031509923165, 6.532842358065987, 4.948857503370916, 6.703694857159666, 5.936142032859005, 5.638641909958903, 6.045831966522678, 7.249048579362144, 5.674129272961326]"
36DE_26DE,5.982667528650463,"[6.066753825456807, 5.889076304010719, 5.476127963437028, 5.610021754077523, 5.459764841452747, 6.046306565719357, 6.1080666220674775, 5.663072435482751, 5.787602740317314, 5.913281024688565, 5.436851005720948, 6.206978929890612, 7.043332280533397, 6.657677069164751, 6.618802201957527, 6.498799980040059]"
04EN_03EN,4.728567831471386,"[4.650307216506809, 5.371677101757005, 4.680799846977505, 4.77823150907405, 4.975827028127412, 4.131664154255427, 4.981784846143616, 4.919302872160731, 4.164922662326151, 5.785975161478094, 4.979209006912726, 4.823227219571, 4.375029897543638, 3.8835844268928597, 4.337647622450321, 5.0967316439760175]"
26EN_36EN,6.152997243450667,"[4.9702051014867905, 6.182888099601472, 6.479397141571386, 5.2711016773205435, 6.41626811638044, 7.8578623428993435, 6.554673542478453, 5.724531505285027, 6.353697183584827, 5.300942378821791, 7.172081382747041, 7.0657428862670395, 6.074246055306237, 6.184022511313311, 5.93882283161718, 4.583572399532423]"
36EN_26DE,5.417015202320748,"[5.482488066936646, 5.683839725050285, 4.940077400869526, 5.888723332966295, 5.328630638183033, 5.584873527334338, 5.402292376616655, 6.539083975932557, 6.0227453949001974, 5.069519506277342, 4.970744918761196, 5.326238294347118, 4.797282333129774, 4.713489971536374, 4.802557391643178, 9.084275094663091]"
03EN_04FR,6.276067894328799,"[6.264634489768685, 6.879422356760788, 6.480997794067625, 7.215082826534751, 7.370794400999129, 6.039970818295017, 6.378660069165627, 6.492526492243421, 6.079258228150307, 5.841731476258304, 5.6113551314186765, 6.3065619445534455, 5.934528228902942, 5.769854057179051, 5.902761292396219, 6.08178448139285]"
26DE_36EN,6.121881996266123,"[6.841339681229879, 6.725343585300585, 5.526562892602861, 7.087160419644346, 5.556121823659804, 6.298864861624927, 7.283708827936331, 6.545035810269089, 6.9272784867759345, 6.306418440044446, 6.79450124672607, 5.414446713767543, 4.655606032932384, 4.829296968208068, 5.960142358955724, 5.180007030932531]"
04EN_03FR,5.505398502403916,"[5.4217509344513575, 6.607366693915305, 5.533821499648277, 5.498246554662091, 5.984179615347236, 5.002640182093378, 5.701526826119101, 5.582089629414929, 5.047465044771568, 6.228451487899643, 6.12735384009976, 5.561183876670668, 5.258105567267491, 4.316068585985834, 4.718825688723359, 5.8466539628556236]"
04FR_03FR,4.611571444162801,"[5.218677709508516, 4.3190018532953935, 4.797583828677249, 5.441129454226271, 4.183059418462316, 4.987842535505872, 4.480025648926022, 4.139480146755781, 4.630555157719151, 3.743128475427473, 5.224430071213111, 4.414919310516169, 4.516552392964752, 4.664068317632772, 4.528690394994561, 4.528437568895797]"
03FR_04FR,5.518890504080162,"[6.278993206500506, 5.274974831623245, 5.855327819767817, 5.495977067204651, 5.365971221638094, 5.210158784406036, 5.654563795502368, 5.740721994184667, 5.693835799510804, 4.58137936688788, 5.917690947043462, 5.1709687309634615, 5.008792258449828, 5.588671076983563, 6.356543694965885, 5.068640660062148]"
36DE_26EN,6.473712482857282,"[6.715556639456081, 6.284875926094442, 5.8580171191801504, 5.979856087372474, 6.1559583105589954, 6.64661731531059, 6.36068080884984, 5.95607843206331, 6.341003535462492, 6.284206605925413, 5.906221448236728, 6.628750509071998, 7.998080197810548, 7.50958992997588, 7.213653276063378, 6.812073392041484]"
36EN_26EN,5.189427815663454,"[5.028196416805581, 5.536312815618635, 4.616060932662914, 5.730669975994674, 5.340240242800245, 5.383450385069224, 5.256326636449781, 6.184258986602204, 5.894271939363742, 4.740975782403541, 4.682101053431928, 5.197848713965478, 4.475828444023936, 4.644787846661361, 4.42648244685363, 8.643250410233817]"
03EN_04EN,6.394483066364417,"[6.426853014767762, 6.839369265884677, 6.518436385807842, 7.448399485337807, 7.578258127029481, 6.037265157479502, 6.680737387114055, 6.665566407332202, 6.589583410277779, 5.841918273112013, 5.632130019819535, 6.191488496351302, 6.01350709636369, 6.0150299845622905, 6.211723074140569, 5.97858892136459]"
04FR_03EN,4.469749471774045,"[4.796017388980498, 4.091788113759818, 4.654932629212132, 4.82669786289899, 4.198092675608388, 4.923178074448986, 4.41108863963879, 4.2112999244064495, 4.538027554003276, 3.540128405254529, 5.040592718068773, 4.424466727066145, 4.245562051794113, 4.638689600871948, 4.476589408091677, 4.483098551638612]"
26EN_36DE,5.352506971952164,"[4.317430250313318, 5.5637696333329245, 5.756319924180089, 4.536065385241584, 5.602738082988322, 7.012517137226452, 5.834083237443032, 4.877935896128059, 5.856237550022572, 4.263231578982965, 6.152506151252715, 5.906911356113378, 5.150262057543908, 5.178523346963057, 5.101157812946777, 4.153683706237041]"
